theme,question,answer1,answer2,answer3,answer4,correct_answer 
Django basic,Какой атрибут формы используется для вывода конкретной метки поля?,label,verbose_name,name,print_name,1
Django basic,Как правильно делать проверку на POST-запрос в представлении?,if request.POST:,"if ""POST"" in request:","if ""POST"" in request.method:","if request.method == ""POST"":",4
Django basic,Какая функция принимает имя шаблона и контекст и возвращает объект HttpResponse с обработанным шаблоном?,"get_template",render_to_response,render_template,render_and_load,2
Django basic,Какой шаблонный тег указывает родительский шаблон?,"{% extends ""base.html"" %}","{% extend ""base.html"" %} ... {% endextend %}","{% child_of ""base.html"" %}","{% parent = ""base.html"" %}",1
Django basic,Какая команда используется для вывода SQL операторов для моделей приложения (здесь app_name) на экран?,"python manage.py sql app_name",python manage.py showSql app_name,python manage.py syncdb app_name,python manage.py sqlall app_name,4
GIT,Сколько систем контроля версий существует?,Только Git,Git и SVN,Git и CVS,Много,4
GIT,Что такое GitHub?,Программа для работы с Git,Драйвер для Git,"Веб-сервис для хостинга IT-проектов и их совместной разработки, основанный на Git",UI для работы с локальной версией Git,3
GIT,Что такое репозиторий Git?,Любая директория/папка в моей ОС,"
Любая папка, находящаяся внутри Git","Репозиторий Git представляет собой каталог файловой системы, в котором находятся файлы конфигурации репозитория, файлы журналов, хранящие операции, выполняемые над репозиторием, индекс, описывающий расположение файлов, и хранилище, содержащее собственно файлы",Папка .git/ и все входящие в нее,3
GIT,Что делает команда git status?,"Показывает состояние проекта: кол-во untracked, deleted, new и прочих файлов, количество коммитов, на которое отличается локальная версия репозитория от удаленного и так далее","Показывает имя и email нашего пользователя, а также является ли он авторизованным в системе GitHub или нет","Показывает место, занимаемое репозиторием на жестком диске и кол-во выделенного под репозиторий месте","Такой команды нет, есть только команда git show",1
GIT,Что делает команда git add?,Создает файл с указанным именем и сразу добавляет его в Git,"
Добавляет локальный файл в удаленный репозиторий так, чтобы другие участники проекта могли его видеть",Это алиас/синоним команды git commit,Начинает отслеживать указанный файл или файлы,4
GIT,Что означает статус файла untracked в выводе команды git status?,Что система Git не отслеживает этот файл,Что файл был удален из Git,"
Что файл находится вне репозитория Git","
Что файл добавлен в .gitignore",1
Python,"Что покажет этот код?
for i in range(5):
  if i % 2 == 0:
    continue
  print(i)","Ошибку, так как i не присвоена",Ошибку из-за неверного вывода,"Числа: 1, 3 и 5",Числа: 1 и 3,4
Python,"Что будет показано в результате?
name = ""John""
print('Hi, %s' % name)","""Hi, name""","""Hi, """,Ошибка,"""Hi, John""",4
Python,Какая функция выводит что-либо в консоль?,write();,log();,out();,print();,4
Python,Какая библиотека отвечает за время?,localtime,clock,Time,time,4
Python,Как получить данные от пользователя?,Использовать метод get(),Использовать метод input(),Использовать метод readLine(),Использовать метод read(),2
Python,Сколько библиотек можно импортировать в один проект?,Не более 3,Не более 10,Неограниченное количество,Не более 5,3
